purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:npm/uri-js,uri-js,npm,dormant,broad,0,0,accept,,"Mature protocol code (RFC 3986 spec) that doesn't need active development. Pin the version, monitor the one advisory, fork if you hit a critical bug. No actively-maintained drop-in replacement covers all the IRI/IPv6/IDNA specs.",llm,0.85,4745435,json-refs,870,285,0,0,https://github.com/garycourt/uri-js
pkg:npm/to-fast-properties,to-fast-properties,npm,unknown,inlineable,0,0,vendor,,"At 140 lines with zero dependencies, this V8 fast-properties optimization is trivial to copy into any dependent. The 4.6M dependent repos likely obtain it transitively; dependents should evaluate whether they need the optimization, inline if yes, drop the dependency if no.",llm,0.88,4631839,babel-types,140,5,0,0,https://github.com/sindresorhus/to-fast-properties
pkg:npm/jsesc,jsesc,npm,dead,broad,0,0,accept,,"Stable, dependency-free utility solving a well-defined escaping problem unlikely to require updates. Pin the version and accept the unmaintained status—zero transitive risk and 2K+ packages validate the implementation.",llm,0.85,4543338,he,339,15,0,0,https://github.com/mathiasbynens/jsesc
pkg:npm/etag,etag,npm,dormant,broad,0,0,vendor,,"At 992 LoC implementing RFC 7232, etag is inexpensive to vendor. With 4.5M dependent repos and no releases in 8+ years, copying the implementation eliminates the dormant-dependency maintenance tax across the ecosystem.",llm,0.88,4534857,@nuxt/server,992,25,0,0,https://github.com/jshttp/etag
pkg:npm/destroy,destroy,npm,unknown,broad,0,0,accept,,"Small, stable utility with zero dependencies and 4.5M dependents. No maintenance overhead; pin the version and rely on the widespread adoption as a stability signal.",llm,0.9,4522290,node-res,537,25,0,0,https://github.com/stream-utils/destroy
pkg:npm/cliui,cliui,npm,dormant,broad,0,0,accept,,"cliui is functionally complete with a stable, simple API. Pin the version and carry the dormancy; 4.4M dependent repos makes ecosystem-wide replacement impractical, and no maintained drop-in alternative exists.",llm,0.8,4471191,@curlconverter/yargs,287,67,0,0,https://github.com/yargs/cliui
pkg:npm/vary,vary,npm,dormant,broad,0,0,vendor,,Package is stable and self-contained with zero dependencies; vendors can safely copy its 989 lines and drop the dependency.,llm,0.8,4406042,method-override,989,4,0,0,https://github.com/jshttp/vary
pkg:npm/regenerator-runtime,regenerator-runtime,npm,dead,inlineable,1,0,vendor,,"Copy this 101-line runtime into your build rather than depend on an archived package. If targeting modern Node or browsers, migrate to native async/await instead.",llm,0.9,4404245,,101,15,0,0,https://github.com/facebook/regenerator
pkg:npm/toidentifier,toidentifier,npm,unknown,broad,0,0,accept,,"Small, dependency-free utility unchanged for 4+ years. At 4.3M dependents, coordinating a fork is impractical; accept a version pin instead.",llm,0.95,4368444,egg-errors,363,6,0,0,https://github.com/component/toidentifier
pkg:npm/get-caller-file,get-caller-file,npm,unknown,inlineable,0,0,accept,,157 LOC with zero dependencies; unmaintained but stable over 7+ years. Safe to keep using or vendor into projects that prefer no external unmaintained code.,llm,0.85,4350442,mock-require,157,5,0,0,https://github.com/stefanpenner/get-caller-file
pkg:npm/require-directory,require-directory,npm,dead,broad,0,0,vendor,,"Dead package with 4.3M dependents, but the 186-line codebase is trivial to vendor. Copying it inline eliminates the dependency and all maintenance burden.",llm,0.88,4338986,jqvmap-novulnerability,390,23,0,0,https://github.com/troygoode/node-require-directory
pkg:npm/convert-source-map,convert-source-map,npm,dead,broad,1,0,accept,,"Stable utility library for standardized source map conversion. With 4.2M dependents and zero transitive vulnerabilities, pinning the version is pragmatic. Monitor inline-source-map for issues but expect no breaking changes to core functionality.",llm,0.85,4241143,v8-to-istanbul,1121,15,0,0,https://github.com/thlorenz/convert-source-map
pkg:npm/isobject,isobject,npm,unknown,broad,0,0,accept,,Zero runtime dependencies and 7 years stable with no reported issues across millions of dependents. Pin and keep using.,llm,0.93,4238246,define-property,371,3,0,0,https://github.com/jonschlinkert/isobject
pkg:npm/methods,methods,npm,dormant,broad,0,0,accept,,Dormant utility with zero dependencies and a standardized output. HTTP method names don't change; pinning is safe. Monitor sparingly.,llm,0.82,4125259,@apidevtools/swagger-methods,534,12,0,0,https://github.com/jshttp/methods
pkg:npm/cookie-signature,cookie-signature,npm,unknown,inlineable,0,0,vendor,,This 60-line signing utility has no dependencies and is trivial to inline. Dependents should copy the implementation into their codebase and drop the dependency.,llm,0.88,4104495,csurf,157,8,0,0,https://github.com/visionmedia/node-cookie-signature
pkg:npm/array-flatten,array-flatten,npm,unknown,inlineable,0,0,vendor,,"Copy the utility into your codebase; for Node.js 11+, use native Array.flat() instead.",llm,0.9,4097259,arr-flatten,65,3,0,0,https://github.com/blakeembrey/array-flatten
pkg:npm/forwarded,forwarded,npm,dormant,broad,0,0,accept,,No external dependencies and minimal code (667 LOC) make this stable to keep. Last release was 4.9 years ago but active maintenance continues—monitor the advisory and pin the version.,llm,0.8,4075117,proxy-addr,667,14,0,0,https://github.com/jshttp/forwarded
pkg:npm/repeat-string,repeat-string,npm,unknown,broad,0,0,vendor,,Unmaintained 9+ years but implements a trivial string-repetition utility. Code is simple enough to vendor directly—eliminate the dependency and maintain full control.,llm,0.8,4068394,align-text,1007,78,0,0,https://github.com/jonschlinkert/repeat-string
pkg:npm/merge-descriptors,merge-descriptors,npm,dormant,inlineable,0,0,vendor,,"Dormant 859 days but trivial (235 lines, zero deps). Merge property descriptors—vendorable or use Object.getOwnPropertyDescriptors + Object.defineProperties.",llm,0.9,4062436,fill-keys,235,5,0,0,https://github.com/sindresorhus/merge-descriptors
pkg:npm/proxy-addr,proxy-addr,npm,dormant,broad,0,0,accept,,"Stable utility for extracting real client IP through proxy chains. 4M dependents (mostly transitive through Express) can't practically switch or inline; pinning the version carries minimal risk given the simple, well-tested code and lack of native dependencies.",llm,0.85,4050584,mock-express-response,1336,47,0,0,https://github.com/jshttp/proxy-addr
pkg:npm/slash,slash,npm,dormant,inlineable,0,0,vendor,,"This 117-line utility converts Windows backslashes to forward slashes—small enough to inline with a single string replacement, eliminating the dependency entirely. Dormant for three years, but the path normalization itself has no risk of regression.",llm,0.9,4015967,,117,1,0,0,https://github.com/sindresorhus/slash
pkg:npm/set-blocking,set-blocking,npm,unknown,inlineable,0,0,vendor,,Tiny unmaintained shim for a Node.js 0.12 bug. Code is trivial enough to inline and hasn't needed updates in 10 years; most 3.96M dependents are transitive and can likely drop it.,llm,0.85,3960025,npmlog,161,6,0,0,https://github.com/yargs/set-blocking
pkg:npm/for-in,for-in,npm,unknown,broad,0,0,vendor,,"40-line utility unmaintained 9+ years but zero dependencies, used by 3.9M repos with no steward. Dependents should inline code to eliminate supply chain risk and maintain transparent ownership.",llm,0.9,3955204,for-own,325,3,0,0,https://github.com/jonschlinkert/for-in
pkg:npm/repeat-element,repeat-element,npm,unknown,broad,0,0,vendor,,Repeat-element is too simple to maintain as a dependency. Dependents should inline the implementation (Array(n).fill(value)) and drop the unmaintained package.,llm,0.9,3941861,css-shorthand-expand,580,29,0,0,https://github.com/jonschlinkert/repeat-element
pkg:npm/extglob,extglob,npm,unknown,broad,0,0,accept,,"extglob is stable and focused on extended glob pattern compilation with minimal attack surface. At 3.9M dependent repos, ecosystem-wide migration is impractical. Pin the version and monitor for security issues; this library fills a niche where alternatives aren't direct drop-in replacements.",llm,0.8,3940381,3.0.0,273,49,0,0,https://github.com/micromatch/extglob
pkg:npm/chownr,chownr,npm,dormant,broad,0,0,vendor,,The recursive chown logic is only 88 lines with zero runtime dependencies—straightforward enough for most projects to vendor inline rather than fork. The 706 packages depending on it suggests small consumers across the ecosystem.,llm,0.85,3832022,mkdirp-infer-owner,88,32,0,0,https://github.com/isaacs/chownr
pkg:npm/ret,ret,npm,dead,broad,0,0,vendor,,"Dead for 1100+ days but low risk: zero dependencies, small focused codebase, does one job well. Most dependents should copy the 592 lines into their projects rather than maintaining the dependency.",llm,0.85,3789143,randexp,592,163,0,0,https://github.com/fent/ret.js
pkg:npm/set-value,set-value,npm,dead,broad,0,1,accept,,"Foundational utility stable for 4.6 years but unmaintained. With 1,539 dependent packages and 3.7M repos, coordinated switching is impractical. Pin to v3.0.1+; evaluate the 2 advisories for your use case. Small enough (1.8KB core) to vendor if you need to drop it.",llm,0.8,3784516,union-value,1846,46,0,0,https://github.com/jonschlinkert/set-value
pkg:npm/to-object-path,to-object-path,npm,unknown,broad,0,0,vendor,,"Trivial path utility (89 lines JS, unmaintained 10 years). Small enough to copy into consuming projects; most of the 3.7M dependents likely get it transitively and wouldn't notice if their direct deps inlined it instead.",llm,0.9,3784348,set-getter,524,8,0,0,https://github.com/jonschlinkert/to-object-path
pkg:npm/split-string,split-string,npm,unknown,broad,0,0,accept,,Stable utility with 974 dependents spread across many projects. Small surface area (970 LOC) makes it safe to pin; larger projects concerned about unmaintained dependencies can vendor it inline.,llm,0.75,3781840,set-value,970,39,0,0,https://github.com/jonschlinkert/split-string
pkg:npm/has-values,has-values,npm,dead,broad,0,0,vendor,,has-values is a 118-line utility that checks if a value is empty. Small enough to inline; most dependents should copy the logic into their projects rather than depend on dead code.,llm,0.85,3781356,has-value,581,4,0,0,https://github.com/jonschlinkert/has-values
pkg:npm/union-value,union-value,npm,dead,broad,0,1,vendor,,"At 352 lines with stable, focused functionality unused for 7 years, inlining the code gives each project full control and eliminates the unmaintained dependency. The small surface area makes this practical across the 3.7M dependents.",llm,0.85,3781195,cache-base,352,7,0,0,https://github.com/jonschlinkert/union-value
pkg:npm/static-extend,static-extend,npm,unknown,broad,0,0,accept,,"Stable utility for class inheritance with no clear single replacement. Pin the version; the 10-year stability suggests feature-completeness. Audit the 614 LOC once for security, then treat as a locked dependency.",llm,0.82,3781103,class-utils,614,6,0,0,https://github.com/jonschlinkert/static-extend
pkg:npm/has-value,has-value,npm,unknown,broad,0,1,vendor,,Small 598-line utility unchanged for 8 years but carries a dead transitive dependency. Simple enough to copy into your project and drop the dependency entirely.,llm,0.75,3780978,unset-value,598,7,0,0,https://github.com/jonschlinkert/has-value
pkg:npm/unset-value,unset-value,npm,unknown,broad,0,0,accept,,"Unmaintained for 4+ years but stable with no active vulnerabilities and zero dead transitive dependencies. Pinning this version is safe for a simple, single-purpose utility that performs reliably without active maintenance.",llm,0.8,3780809,cache-base,500,10,0,0,https://github.com/jonschlinkert/unset-value
pkg:npm/to-regex,to-regex,npm,unknown,broad,0,0,accept,,"Unmaintained since 2018 but stable—no ReDoS vulnerabilities, hasn't broken in 8 years. No maintained drop-in replacement; switching requires evaluating which specific features each dependent actually uses.",llm,0.85,3780644,expand-brackets,719,25,0,0,https://github.com/jonschlinkert/to-regex
pkg:npm/use,use,npm,unknown,broad,0,0,accept,,"Simple plugin system with zero dependencies; feature-complete and stable for 7.8 years. Migration across 949 packages is impractical; keep pinned and treat the small, auditable surface as acceptable risk.",llm,0.88,3780112,snapdragon,769,23,0,0,https://github.com/jonschlinkert/use
pkg:npm/snapdragon,snapdragon,npm,unknown,broad,0,0,accept,,Last updated five years ago with 3.7M dependents across diverse use cases. No maintained alternative covers its breadth as a parser/compiler framework. Pinning the version manages the risk while remaining practical at this scale.,llm,0.85,3779990,expand-brackets,467,87,0,0,https://github.com/here-be/snapdragon
pkg:npm/fragment-cache,fragment-cache,npm,unknown,broad,0,0,accept,,"Stable, small (459 LOC), unmaintained since 2015. Safe to pin with no vulnerabilities. Switching requires coordination across 926 packages or refactoring millions of consumers. Evaluate if the namespace-cache abstraction is needed.",llm,0.85,3779677,extglob,459,3,0,0,https://github.com/jonschlinkert/fragment-cache
pkg:npm/snapdragon-node,snapdragon-node,npm,unknown,broad,0,0,accept,,"Small, focused AST utility used transitively through snapdragon by thousands of repos. Code is simple and stable; pinning and accepting the version is the practical choice for most dependents.",llm,0.85,3778633,snapdragon,1369,65,0,0,https://github.com/here-be/snapdragon-node
pkg:npm/snapdragon-util,snapdragon-util,npm,unknown,broad,0,0,accept,,Unmaintained 8+ years but stable utility code; version-pin and accept the risk. Single runtime dependency and static API make this a safe freeze.,llm,0.85,3777798,snapdragon,2368,121,0,0,https://github.com/here-be/snapdragon-util
pkg:npm/safe-regex,safe-regex,npm,unknown,broad,0,0,accept,,Stable 341-LOC codebase unchanged for 6 years. Limitations (false positives/negatives) are design constraints. Pin the version and validate untrusted regex inputs per the README's guidance.,llm,0.72,3777495,regex-not,341,17,0,0,https://github.com/davisjam/safe-regex
pkg:npm/array-union,array-union,npm,unknown,inlineable,0,0,vendor,,Deduplicate arrays in 127 lines with zero dependencies. Small enough to copy directly; avoids needing to maintain an external package for a trivial utility.,llm,0.95,3770523,arr-union,127,0,0,0,https://github.com/sindresorhus/array-union
pkg:npm/regenerate,regenerate,npm,unknown,broad,0,0,accept,,Stable for 5+ years with no runtime dependencies or signals of active issues. Pin the version and carry the low maintenance risk.,llm,0.8,3619401,json5,,,,0,https://github.com/mathiasbynens/regenerate
pkg:npm/regjsgen,regjsgen,npm,dormant,few-large,0,0,accept,,"Stable utility with zero runtime dependencies, almost certainly pulled in transitively by regjsparser and related transpilers. Pin the version—there's no maintained alternative and the code is small enough to fork if needed.",llm,0.85,3603178,traceur,45121,120,0,0,https://github.com/bnjmnt4n/regjsgen
pkg:npm/loose-envify,loose-envify,npm,dead,broad,0,0,accept,,"Loose-envify is a stable, build-time-only tool proven across 3.5M repos; switching costs exceed the risk of pinning it. Monitor for Node compatibility issues.",llm,0.75,3548702,prop-types,12893,1598,0,0,https://github.com/zertosh/loose-envify
pkg:npm/universalify,universalify,npm,unknown,inlineable,0,0,vendor,,Copy the 188-line codebase into your project instead of maintaining a dependency—it has zero external dependencies and is straightforward to maintain. Node's built-in `util.promisify` handles callback-to-promise conversion for most cases; vendor this code only if you need bidirectional conversion.,llm,0.9,3543281,@postman/tough-cookie,326,6,0,0,https://github.com/ryanzim/universalify
pkg:npm/postcss-value-parser,postcss-value-parser,npm,unknown,broad,0,0,accept,,Feature-complete CSS parser with zero runtime dependencies; used by 3.5M repos with no ecosystem issues despite 4+ years dormant.,llm,0.85,3512274,css-to-react-native,525,122,0,0,https://github.com/trysound/postcss-value-parser
pkg:npm/is-path-inside,is-path-inside,npm,dormant,inlineable,0,0,vendor,,"Last release was five years ago with no active maintenance. At 251 lines and zero dependencies, dependents should vendor this code directly rather than maintain an external dependency.",llm,0.92,3491616,is-installed-globally,251,0,0,0,https://github.com/sindresorhus/is-path-inside
pkg:npm/require-main-filename,require-main-filename,npm,unknown,inlineable,0,0,vendor,,The package solves a narrow compatibility problem with negligible code. Vendoring the ~45 lines of source eliminates the unmaintained dependency without operational risk. Projects still needing the iisnode workaround can keep it; others can drop the shim entirely.,llm,0.9,3489281,3.0.0,129,6,0,0,https://github.com/yargs/require-main-filename
pkg:npm/which-module,which-module,npm,unknown,broad,0,0,accept,,"Simple reverse-module lookup, 160 LOC, zero runtime dependencies. Stable for 3+ years with no maintenance burden. Safe to pin the version and use as-is.",llm,0.95,3468922,typescript-strict-plugin,157,2,0,0,https://github.com/nexdrew/which-module
pkg:npm/resolve-cwd,resolve-cwd,npm,unknown,broad,0,0,accept,,"Stable utility unchanged for 7 years that resolves module paths from cwd. Direct dependents can switch to require.resolve() with { paths: [process.cwd()] } or inline the trivial logic, but keeping it is safe.",llm,0.9,3467571,strapi,142,0,0,0,https://github.com/sindresorhus/resolve-cwd
pkg:npm/import-local,import-local,npm,unknown,broad,0,0,accept,,"Small stable utility unmaintained for 21 months but showing no signs of breakage. Pin the version, monitor its dependencies (pkg-dir, resolve-cwd) for security issues, and vendor only if you need independence and can absorb the maintenance cost of 217 lines.",llm,0.85,3448463,prettier-stylelint,217,5,0,0,https://github.com/sindresorhus/import-local
pkg:npm/unicode-match-property-ecmascript,unicode-match-property-ecmascript,npm,unknown,broad,0,0,vendor,,Direct dependents can safely copy the 153 lines into their codebase; it implements a stable ECMAScript spec with minimal logic. Removes dependency chain risk while keeping the same functionality.,llm,0.8,3422853,shift-regexp-acceptor,282,2,0,0,https://github.com/mathiasbynens/unicode-match-property-ecmascript
pkg:npm/unicode-canonical-property-names-ecmascript,unicode-canonical-property-names-ecmascript,npm,unknown,inlineable,0,0,vendor,,80 lines of JavaScript exporting a static data structure with no runtime dependencies. Copy it into your codebase to eliminate the unmaintained dependency.,llm,0.85,3422841,unicode-match-property-ecmascript,190,0,0,0,https://github.com/mathiasbynens/unicode-canonical-property-names-ecmascript
pkg:npm/compressible,compressible,npm,dormant,broad,0,0,accept,,"Checks if MIME types should be compressed. No security issues in its dependency chain, simple code that hasn't needed updates since it's stable. For a package with 3M+ dependents, coordinated switching isn't feasible.",llm,0.85,3417401,shrink-ray-current,606,14,0,0,https://github.com/jshttp/compressible
pkg:npm/regenerator-transform,regenerator-transform,npm,dead,broad,1,0,accept,,"Stable, archived code with minimal surface (101 LOC). Pin the version. Modern projects use Babel's built-in generator/async transforms instead.",llm,0.8,3406360,babel-plugin-transform-regenerator,101,15,0,0,https://github.com/facebook/regenerator
pkg:npm/code-point-at,code-point-at,npm,dead,broad,1,0,switch,,"String.prototype.codePointAt() is standard in all Node versions from 4.0+ (2015). Remove this dependency unless supporting pre-4.0 environments, in which case inline the 77-line implementation.",llm,0.9,3327025,readline2,190,10,0,0,https://github.com/sindresorhus/code-point-at
pkg:npm/cssesc,cssesc,npm,dead,inlineable,0,0,vendor,,Unmaintained for 7+ years but used by 3.3M repos. Only 115 LOC with zero dependencies—copying the code into your project is the standard approach and removes the maintenance risk entirely.,llm,0.85,3326249,css-selector-tokenizer,115,12,0,0,https://github.com/mathiasbynens/cssesc
pkg:npm/is-obj,is-obj,npm,unknown,inlineable,0,0,vendor,,Trivial one-line utility with no dependencies. Inline the check and drop the dependency.,llm,0.95,3285488,@plotly/point-cluster,130,3,0,0,https://github.com/sindresorhus/is-obj
pkg:npm/fs-minipass,fs-minipass,npm,dormant,broad,0,0,accept,,"Stable, complete code with minimal surface area that doesn't need active maintenance. Small risk because fs operations are backwards-compatible and dormancy reflects completion, not abandonment.",llm,0.85,3246496,react-native-module-arge,379,69,0,0,https://github.com/npm/fs-minipass
pkg:npm/dir-glob,dir-glob,npm,unknown,broad,0,0,accept,,"Small, stable utility with millions of small dependents and no obvious replacement. Pin the version and monitor for security issues; vendoring is viable only for projects with strict unmaintained-code policies.",llm,0.85,3220445,@semantic-release/git,212,11,0,0,https://github.com/kevva/dir-glob
pkg:npm/fast-glob,fast-glob,npm,dormant,broad,0,1,accept,,"Dormant 466 days but functionally complete; 3.2M dependents in production indicate stable, battle-tested code. Pin version and accept the risk. Ecosystem scale will force maintenance or drive migration if needed.",llm,0.75,3211568,,5589,226,0,0,https://github.com/mrmlnc/fast-glob
pkg:npm/normalize-range,normalize-range,npm,unknown,few-large,0,0,vendor,,"At 394 LOC with zero dependencies, most dependents should vendor the code directly—copy the few functions (wrap, limit) into their own codebase. postcss-unprefix especially could inline its usage without burden.",llm,0.85,3193916,postcss-unprefix,394,6,0,0,https://github.com/jamestalmage/normalize-range
pkg:npm/ansi-colors,ansi-colors,npm,dead,broad,0,0,switch,pkg:npm/chalk,"ansi-colors has been unmaintained for four years. Chalk, which it was built to replace, is actively maintained and remains the standard. Switch directly as a drop-in replacement, or consider colorette for a lighter alternative.",llm,0.85,3150703,,1744,42,0,0,https://github.com/doowb/ansi-colors
pkg:npm/batch,batch,npm,dead,broad,0,0,vendor,,"Self-contained concurrency utility with 486 lines, zero dependencies, and massive breadth. Small enough to inline into consuming projects; consider copying the code directly rather than waiting for upstream fixes that won't come.",llm,0.9,3143451,serve-index-75lb,938,37,0,0,https://github.com/visionmedia/batch
pkg:npm/connect-history-api-fallback,connect-history-api-fallback,npm,dormant,inlineable,0,0,vendor,,Only 108 lines with zero dependencies. Small enough to copy into your app; inlining is easier than maintaining the dependency.,llm,0.95,3115839,,108,27,0,0,https://github.com/bripkens/connect-history-api-fallback
pkg:npm/faye-websocket,faye-websocket,npm,unknown,broad,0,0,switch,pkg:npm/ws,faye-websocket hasn't been maintained in 5 years but remains stable and widely used. The actively maintained `ws` package is the standard replacement for WebSocket support; projects using EventSource may need to handle that separately or use a dedicated EventSource library.,llm,0.85,3105318,sockjs,393,76,0,0,https://github.com/faye/faye-websocket-node
pkg:npm/is-plain-obj,is-plain-obj,npm,unknown,inlineable,0,0,vendor,,"A simple utility function (217 LOC, no dependencies) checking if a value is a plain object. Stable for 2+ years with no maintenance activity. Projects should copy the implementation directly or accept the dependency with a pinned version.",llm,0.85,3088043,unified,217,9,0,0,https://github.com/sindresorhus/is-plain-obj
pkg:npm/html-entities,html-entities,npm,dormant,inlineable,0,0,vendor,pkg:npm/entities,"At 228 LOC with no runtime dependencies, html-entities is small enough for any project to copy in directly. With 3M+ dependents and 387 days since the last commit, vendoring the code removes the maintenance risk while each project retains full control.",llm,0.85,3072516,webpack-hot-middleware,228,29,0,0,https://github.com/mdevils/html-entities
pkg:npm/indent-string,indent-string,npm,unknown,inlineable,0,0,vendor,,"Unmaintained for 5 years but trivial to vendor: 223 lines of code, zero dependencies, single function. Copy the implementation directly to eliminate a dead dependency.",llm,0.95,3057889,redent,223,5,0,0,https://github.com/sindresorhus/indent-string
pkg:npm/websocket-driver,websocket-driver,npm,unknown,broad,0,1,accept,,Unmaintained since 2020 with a dead transitive dependency. Pin the version and monitor; the protocol logic is stable but no drop-in replacement exists at the same abstraction level.,llm,0.72,3054684,faye-websocket,1323,251,0,0,https://github.com/faye/websocket-driver-node
pkg:npm/websocket-extensions,websocket-extensions,npm,unknown,broad,0,0,vendor,,"Last updated 5 years ago with an unpatched advisory, but small (906 LOC) and dependency-free; direct dependents should vendor it into their packages, letting millions of transitive dependents inherit the fix without their knowledge.",llm,0.75,3053754,websocket-driver,906,73,0,0,https://github.com/faye/websocket-extensions-node
pkg:npm/babel-plugin-dynamic-import-node,babel-plugin-dynamic-import-node,npm,unknown,broad,0,0,accept,,Dynamic imports are natively supported in Node 13.2+ and Webpack 2+. Pin the working version and drop it when modernizing your build stack to Node 16+.,llm,0.8,2991665,,56,7,0,0,https://github.com/airbnb/babel-plugin-dynamic-import-node
pkg:npm/detect-node,detect-node,npm,unknown,inlineable,0,0,vendor,,"This is a 3-line utility with no dependencies—small enough to inline directly. Vendors should copy the detection into their codebase and remove the dependency, reducing their maintenance surface for functionality they could own in seconds.",llm,0.95,2961651,spdy-transport,67,0,0,0,https://github.com/iliakan/detect-node
pkg:npm/ip,ip,npm,dormant,broad,0,0,vendor,,"With 364 lines of code and zero dependencies, `ip` is small enough for any dependent to copy directly into their codebase. This eliminates supply chain risk for a utility that hasn't changed in 800 days but has 2 known advisories.",llm,0.9,2948597,,364,108,0,1,https://github.com/indutny/node-ip
pkg:npm/wide-align,wide-align,npm,dead,broad,0,0,accept,,"Small, stable codebase unchanged for three years with no active issues. Risk is low; dependents should pin the version and monitor for security disclosures. No maintained alternative handles wide character alignment correctly.",llm,0.8,2924368,gauge,164,11,0,0,https://github.com/iarna/wide-align
pkg:npm/%40babel/preset-modules,@babel/preset-modules,npm,dormant,alternative,0,0,switch,pkg:npm/@babel/preset-env,The package has been dormant for 2.8 years. Its functionality is now built into @babel/preset-env 7.9.0+; the Babel team recommends adding bugfixes: true to your preset config (or targets: { esmodules: true }) for the same behavior with ongoing support.,llm,0.92,2918999,microbundle-crl,254,41,0,0,https://github.com/babel/preset-modules
pkg:npm/merge2,merge2,npm,unknown,broad,0,0,vendor,,"With 2.9M dependents but no maintenance since 2020, this small package (587 lines, zero dependencies) is practical to vendor into consuming projects. Alternatively, pin the version and accept the risk given the focused, stable API.",llm,0.8,2917740,,587,31,0,0,https://github.com/teambition/merge2
pkg:npm/loglevel,loglevel,npm,dormant,broad,0,0,accept,,"Pin the version. loglevel is 242 lines with zero dependencies; dormancy is acceptable given its simplicity, stability across 2.9M repos, and that lighter alternatives don't exist.",llm,0.9,2916090,loglevel-plugin-prefix,242,66,0,0,https://github.com/pimterry/loglevel
pkg:npm/handle-thing,handle-thing,npm,unknown,inlineable,0,0,vendor,,The package is stable with zero runtime dependencies and no active security issues. Vendors can safely copy the 237 lines into their projects to eliminate the external dependency. Continuing to pin the version is equally low-risk.,llm,0.75,2913713,spdy,237,21,0,0,https://github.com/indutny/handle-thing
pkg:npm/hpack.js,hpack.js,npm,unknown,few-large,0,0,switch,,"HPACK.js is a frozen RFC 7541 implementation last updated a decade ago. The single major dependent, spdy-transport, is deprecated in favor of Node.js's native HTTP/2 support. Dependents should migrate off SPDY entirely rather than maintain this legacy dependency.",llm,0.82,2912523,spdy-transport,1353,60,0,0,https://github.com/indutny/hpack.js
